x, y, z
0.093496, -0.075090, -0.046431
0.094017, -0.074437, -0.045582
0.094533, -0.073780, -0.044733
0.095046, -0.073119, -0.043885
0.095554, -0.072453, -0.043039
0.096559, -0.071108, -0.041354
0.097550, -0.069743, -0.039680
0.098525, -0.068359, -0.038016
0.099483, -0.066956, -0.036361
0.100425, -0.065535, -0.034717
0.101350, -0.064095, -0.033083
0.102259, -0.062636, -0.031460
0.103149, -0.061158, -0.029848
0.104022, -0.059661, -0.028246
0.104877, -0.058145, -0.026657
0.105713, -0.056611, -0.025078
0.106530, -0.055059, -0.023512
0.107327, -0.053487, -0.021957
0.108102, -0.051903, -0.020405
0.108857, -0.050300, -0.018865
0.109592, -0.048678, -0.017340
0.110307, -0.047036, -0.015830
0.111001, -0.045375, -0.014336
0.111674, -0.043693, -0.012859
0.112325, -0.041990, -0.011400
0.112954, -0.040268, -0.009958
0.113560, -0.038525, -0.008534
0.114143, -0.036763, -0.007128
0.114701, -0.034981, -0.005739
0.115236, -0.033178, -0.004370
0.115745, -0.031355, -0.003021
0.116229, -0.029511, -0.001695
0.116687, -0.027644, -0.000392
0.117118, -0.025755, 0.000886
0.117522, -0.023844, 0.002139
0.117898, -0.021913, 0.003371
0.118243, -0.019964, 0.004583
0.118559, -0.017998, 0.005777
0.118842, -0.016016, 0.006954
0.119095, -0.014015, 0.008107
0.119316, -0.011990, 0.009228
0.119505, -0.009934, 0.010306
0.119660, -0.007842, 0.011331
0.119781, -0.005708, 0.012295
0.119865, -0.003533, 0.013196
0.119910, -0.001317, 0.014034
0.119913, 0.000942, 0.014806
0.119873, 0.003251, 0.015498
0.119785, 0.005618, 0.016098
0.119646, 0.008050, 0.016590
0.119555, 0.009306, 0.016772
0.119447, 0.010601, 0.016890
0.119320, 0.011954, 0.016913
0.119166, 0.013401, 0.016785
0.119019, 0.014644, 0.016546
0.118938, 0.015287, 0.016391
0.118848, 0.015972, 0.016168
0.118796, 0.016359, 0.015987
0.118765, 0.016584, 0.015845
0.118746, 0.016718, 0.015740
0.118719, 0.016910, 0.015542
0.118684, 0.017149, 0.015054
0.118680, 0.017179, 0.014898
0.118677, 0.017197, 0.014653
0.118681, 0.017169, 0.014264
0.118704, 0.017013, 0.013645
0.118736, 0.016791, 0.013133
0.118815, 0.016217, 0.012313
0.118925, 0.015390, 0.011462
0.119033, 0.014536, 0.010653
0.119137, 0.013657, 0.009882
0.119237, 0.012750, 0.009154
0.119422, 0.010882, 0.007780
0.119580, 0.008986, 0.006447
0.119708, 0.007067, 0.005146
0.119807, 0.005127, 0.003876
0.119875, 0.003170, 0.002631
0.119911, 0.001198, 0.001408
0.119914, -0.000786, 0.000202
0.119885, -0.002778, -0.000991
0.119822, -0.004775, -0.002173
0.119725, -0.006776, -0.003347
0.119595, -0.008778, -0.004517
0.119431, -0.010778, -0.005686
0.119234, -0.012775, -0.006856
0.119004, -0.014767, -0.008027
0.118741, -0.016755, -0.009199
0.118444, -0.018738, -0.010371
0.118114, -0.020715, -0.011543
0.117751, -0.022687, -0.012715
0.117355, -0.024653, -0.013887
0.116927, -0.026612, -0.015058
0.116465, -0.028564, -0.016229
0.115971, -0.030507, -0.017400
0.115445, -0.032443, -0.018572
0.114886, -0.034369, -0.019743
0.114296, -0.036285, -0.020914
0.113673, -0.038191, -0.022086
0.113018, -0.040086, -0.023257
0.112332, -0.041971, -0.024429
0.111615, -0.043843, -0.025600
0.110866, -0.045704, -0.026772
0.110086, -0.047551, -0.027943
0.109276, -0.049385, -0.029114
0.108434, -0.051206, -0.030286
0.107563, -0.053012, -0.031457
0.106662, -0.054803, -0.032629
0.105730, -0.056579, -0.033800
0.104769, -0.058339, -0.034972
0.103797, -0.060053, -0.036198
0.102781, -0.061775, -0.037378
0.101737, -0.063480, -0.038559
0.100664, -0.065168, -0.039740
0.099563, -0.066837, -0.040920
0.098435, -0.068488, -0.042101
0.097279, -0.070120, -0.043281
0.096097, -0.071732, -0.044462
0.095495, -0.072531, -0.045052
0.094887, -0.073324, -0.045642
0.094273, -0.074113, -0.046233
0.093652, -0.074896, -0.046823
