x, y, z
0.087241, -0.072272, -0.047970
0.087752, -0.071650, -0.047107
0.088259, -0.071025, -0.046243
0.088762, -0.070396, -0.045381
0.089261, -0.069762, -0.044521
0.090248, -0.068480, -0.042807
0.091221, -0.067179, -0.041103
0.092179, -0.065858, -0.039409
0.093121, -0.064518, -0.037725
0.094048, -0.063159, -0.036050
0.094959, -0.061782, -0.034386
0.095853, -0.060385, -0.032732
0.096730, -0.058969, -0.031088
0.097591, -0.057535, -0.029456
0.098433, -0.056081, -0.027834
0.099258, -0.054608, -0.026224
0.100064, -0.053116, -0.024625
0.100851, -0.051606, -0.023038
0.101617, -0.050082, -0.021453
0.102362, -0.048540, -0.019881
0.103089, -0.046978, -0.018322
0.103795, -0.045396, -0.016778
0.104481, -0.043793, -0.015250
0.105147, -0.042170, -0.013738
0.105791, -0.040526, -0.012244
0.106414, -0.038861, -0.010766
0.107015, -0.037176, -0.009306
0.107592, -0.035470, -0.007864
0.108146, -0.033745, -0.006438
0.108675, -0.031998, -0.005031
0.109180, -0.030231, -0.003644
0.109660, -0.028441, -0.002279
0.110114, -0.026629, -0.000937
0.110542, -0.024793, 0.000380
0.110942, -0.022935, 0.001675
0.111314, -0.021056, 0.002948
0.111656, -0.019159, 0.004201
0.111968, -0.017244, 0.005437
0.112248, -0.015313, 0.006657
0.112497, -0.013363, 0.007854
0.112714, -0.011387, 0.009019
0.112899, -0.009380, 0.010142
0.113050, -0.007335, 0.011214
0.113166, -0.005248, 0.012227
0.113245, -0.003117, 0.013177
0.113284, -0.000945, 0.014067
0.113281, 0.001272, 0.014892
0.113233, 0.003540, 0.015640
0.113136, 0.005867, 0.016298
0.112986, 0.008262, 0.016851
0.112889, 0.009500, 0.017065
0.112774, 0.010779, 0.017217
0.112638, 0.012118, 0.017276
0.112474, 0.013553, 0.017189
0.112319, 0.014789, 0.016986
0.112232, 0.015430, 0.016850
0.112136, 0.016113, 0.016648
0.112080, 0.016500, 0.016479
0.112046, 0.016727, 0.016345
0.112026, 0.016862, 0.016245
0.111997, 0.017057, 0.016054
0.111958, 0.017307, 0.015576
0.111953, 0.017340, 0.015423
0.111949, 0.017365, 0.015180
0.111952, 0.017348, 0.014794
0.111973, 0.017210, 0.014177
0.112005, 0.017004, 0.013664
0.112086, 0.016459, 0.012836
0.112200, 0.015663, 0.011971
0.112312, 0.014840, 0.011146
0.112421, 0.013991, 0.010359
0.112527, 0.013113, 0.009614
0.112723, 0.011302, 0.008202
0.112892, 0.009461, 0.006830
0.113033, 0.007597, 0.005490
0.113144, 0.005710, 0.004180
0.113224, 0.003805, 0.002894
0.113272, 0.001885, 0.001629
0.113288, -0.000046, 0.000382
0.113271, -0.001987, -0.000853
0.113220, -0.003934, -0.002078
0.113135, -0.005885, -0.003295
0.113017, -0.007837, -0.004508
0.112864, -0.009787, -0.005720
0.112679, -0.011734, -0.006932
0.112460, -0.013676, -0.008146
0.112207, -0.015614, -0.009361
0.111921, -0.017547, -0.010576
0.111602, -0.019475, -0.011791
0.111249, -0.021397, -0.013005
0.110863, -0.023313, -0.014220
0.110445, -0.025222, -0.015434
0.109993, -0.027124, -0.016648
0.109509, -0.029018, -0.017862
0.108992, -0.030903, -0.019076
0.108442, -0.032779, -0.020290
0.107861, -0.034645, -0.021505
0.107247, -0.036500, -0.022719
0.106601, -0.038345, -0.023933
0.105924, -0.040178, -0.025148
0.105215, -0.042000, -0.026362
0.104475, -0.043809, -0.027576
0.103703, -0.045605, -0.028790
0.102901, -0.047387, -0.030004
0.102068, -0.049155, -0.031219
0.101205, -0.050909, -0.032433
0.100312, -0.052647, -0.033647
0.099388, -0.054370, -0.034861
0.098436, -0.056077, -0.036076
0.097472, -0.057736, -0.037343
0.096465, -0.059404, -0.038567
0.095429, -0.061054, -0.039790
0.094364, -0.062686, -0.041013
0.093272, -0.064300, -0.042236
0.092153, -0.065895, -0.043459
0.091006, -0.067470, -0.044682
0.089832, -0.069025, -0.045905
0.089235, -0.069795, -0.046517
0.088631, -0.070560, -0.047129
0.088021, -0.071319, -0.047740
0.087404, -0.072074, -0.048352
