x, y, z
0.060498, -0.041766, -0.043172
0.060735, -0.041421, -0.042467
0.060971, -0.041074, -0.041762
0.061204, -0.040725, -0.041057
0.061436, -0.040374, -0.040353
0.061897, -0.039664, -0.038950
0.062352, -0.038944, -0.037552
0.062803, -0.038214, -0.036161
0.063248, -0.037473, -0.034774
0.063687, -0.036722, -0.033394
0.064120, -0.035960, -0.032019
0.064546, -0.035188, -0.030651
0.064967, -0.034406, -0.029288
0.065381, -0.033612, -0.027932
0.065789, -0.032807, -0.026582
0.066189, -0.031991, -0.025239
0.066583, -0.031165, -0.023903
0.066968, -0.030327, -0.022573
0.067344, -0.029482, -0.021244
0.067713, -0.028627, -0.019923
0.068073, -0.027759, -0.018609
0.068426, -0.026878, -0.017305
0.068770, -0.025983, -0.016009
0.069107, -0.025075, -0.014723
0.069434, -0.024153, -0.013447
0.069753, -0.023216, -0.012181
0.070062, -0.022266, -0.010925
0.070362, -0.021301, -0.009679
0.070650, -0.020322, -0.008443
0.070929, -0.019329, -0.007217
0.071196, -0.018319, -0.006004
0.071452, -0.017294, -0.004803
0.071696, -0.016251, -0.003615
0.071929, -0.015190, -0.002441
0.072148, -0.014112, -0.001281
0.072353, -0.013019, -0.000134
0.072544, -0.011910, 0.001003
0.072719, -0.010789, 0.002129
0.072878, -0.009655, 0.003246
0.073022, -0.008505, 0.004349
0.073148, -0.007333, 0.005434
0.073259, -0.006135, 0.006495
0.073351, -0.004904, 0.007526
0.073425, -0.003636, 0.008523
0.073478, -0.002329, 0.009484
0.073509, -0.000985, 0.010409
0.073514, 0.000399, 0.011297
0.073492, 0.001829, 0.012140
0.073440, 0.003313, 0.012931
0.073354, 0.004860, 0.013661
0.073296, 0.005669, 0.013991
0.073226, 0.006517, 0.014283
0.073140, 0.007418, 0.014522
0.073033, 0.008407, 0.014677
0.072928, 0.009276, 0.014723
0.072868, 0.009732, 0.014726
0.072800, 0.010226, 0.014690
0.072759, 0.010514, 0.014633
0.072734, 0.010687, 0.014576
0.072718, 0.010793, 0.014528
0.072694, 0.010954, 0.014428
0.072658, 0.011193, 0.014141
0.072651, 0.011239, 0.014041
0.072643, 0.011291, 0.013880
0.072636, 0.011335, 0.013615
0.072637, 0.011332, 0.013176
0.072647, 0.011267, 0.012796
0.072685, 0.011018, 0.012152
0.072746, 0.010604, 0.011446
0.072809, 0.010166, 0.010763
0.072872, 0.009705, 0.010102
0.072935, 0.009218, 0.009465
0.073057, 0.008197, 0.008237
0.073167, 0.007149, 0.007032
0.073263, 0.006081, 0.005845
0.073345, 0.004995, 0.004676
0.073412, 0.003891, 0.003521
0.073463, 0.002775, 0.002378
0.073497, 0.001647, 0.001245
0.073513, 0.000511, 0.000120
0.073512, -0.000631, -0.001000
0.073494, -0.001777, -0.002115
0.073457, -0.002926, -0.003228
0.073402, -0.004074, -0.004340
0.073329, -0.005222, -0.005453
0.073239, -0.006367, -0.006566
0.073131, -0.007510, -0.007680
0.073004, -0.008651, -0.008794
0.072860, -0.009789, -0.009908
0.072699, -0.010926, -0.011022
0.072519, -0.012060, -0.012136
0.072322, -0.013192, -0.013249
0.072107, -0.014320, -0.014363
0.071874, -0.015445, -0.015476
0.071624, -0.016565, -0.016590
0.071357, -0.017682, -0.017703
0.071072, -0.018795, -0.018817
0.070770, -0.019903, -0.019931
0.070450, -0.021006, -0.021044
0.070114, -0.022104, -0.022158
0.069760, -0.023196, -0.023271
0.069389, -0.024283, -0.024385
0.069001, -0.025364, -0.025499
0.068596, -0.026439, -0.026612
0.068175, -0.027507, -0.027726
0.067737, -0.028568, -0.028839
0.067283, -0.029623, -0.029953
0.066812, -0.030670, -0.031067
0.066324, -0.031710, -0.032180
0.065835, -0.032714, -0.033325
0.065319, -0.033733, -0.034443
0.064786, -0.034745, -0.035562
0.064238, -0.035748, -0.036681
0.063675, -0.036742, -0.037800
0.063096, -0.037728, -0.038919
0.062502, -0.038704, -0.040037
0.061893, -0.039671, -0.041156
0.061582, -0.040151, -0.041715
0.061268, -0.040628, -0.042275
0.060951, -0.041104, -0.042834
0.060629, -0.041576, -0.043394
