x, y, z
0.100029, -0.077512, -0.044720
0.100553, -0.076830, -0.043889
0.101073, -0.076145, -0.043059
0.101588, -0.075456, -0.042229
0.102100, -0.074762, -0.041402
0.103111, -0.073361, -0.039753
0.104107, -0.071941, -0.038116
0.105087, -0.070502, -0.036489
0.106050, -0.069045, -0.034873
0.106996, -0.067570, -0.033266
0.107925, -0.066076, -0.031670
0.108836, -0.064564, -0.030085
0.109730, -0.063033, -0.028511
0.110605, -0.061484, -0.026948
0.111462, -0.059917, -0.025397
0.112300, -0.058332, -0.023858
0.113118, -0.056728, -0.022331
0.113917, -0.055107, -0.020815
0.114693, -0.053473, -0.019302
0.115449, -0.051820, -0.017803
0.116184, -0.050150, -0.016318
0.116899, -0.048460, -0.014848
0.117593, -0.046751, -0.013394
0.118266, -0.045022, -0.011959
0.118917, -0.043273, -0.010541
0.119546, -0.041505, -0.009141
0.120151, -0.039717, -0.007759
0.120734, -0.037910, -0.006395
0.121292, -0.036085, -0.005049
0.121826, -0.034239, -0.003723
0.122334, -0.032374, -0.002417
0.122818, -0.030488, -0.001135
0.123276, -0.028581, 0.000123
0.123707, -0.026651, 0.001356
0.124111, -0.024701, 0.002565
0.124487, -0.022732, 0.003751
0.124834, -0.020745, 0.004916
0.125150, -0.018741, 0.006064
0.125436, -0.016723, 0.007194
0.125691, -0.014686, 0.008300
0.125914, -0.012625, 0.009373
0.126106, -0.010535, 0.010402
0.126266, -0.008410, 0.011378
0.126391, -0.006245, 0.012291
0.126481, -0.004040, 0.013139
0.126533, -0.001795, 0.013924
0.126545, 0.000491, 0.014641
0.126514, 0.002826, 0.015277
0.126438, 0.005216, 0.015819
0.126313, 0.007670, 0.016250
0.126230, 0.008935, 0.016401
0.126131, 0.010238, 0.016486
0.126013, 0.011598, 0.016475
0.125871, 0.013048, 0.016310
0.125736, 0.014290, 0.016038
0.125662, 0.014932, 0.015866
0.125579, 0.015615, 0.015625
0.125530, 0.015998, 0.015433
0.125502, 0.016221, 0.015286
0.125485, 0.016353, 0.015177
0.125460, 0.016541, 0.014973
0.125430, 0.016769, 0.014477
0.125426, 0.016795, 0.014320
0.125425, 0.016807, 0.014073
0.125430, 0.016769, 0.013684
0.125453, 0.016597, 0.013067
0.125484, 0.016361, 0.012559
0.125560, 0.015764, 0.011750
0.125664, 0.014911, 0.010918
0.125765, 0.014033, 0.010128
0.125863, 0.013130, 0.009377
0.125956, 0.012201, 0.008670
0.126127, 0.010290, 0.007339
0.126270, 0.008353, 0.006049
0.126384, 0.006393, 0.004793
0.126469, 0.004414, 0.003567
0.126523, 0.002418, 0.002368
0.126545, 0.000407, 0.001191
0.126535, -0.001613, 0.000031
0.126493, -0.003642, -0.001115
0.126418, -0.005676, -0.002250
0.126310, -0.007713, -0.003378
0.126169, -0.009751, -0.004501
0.125996, -0.011787, -0.005623
0.125789, -0.013819, -0.006745
0.125549, -0.015847, -0.007869
0.125277, -0.017871, -0.008994
0.124973, -0.019889, -0.010120
0.124636, -0.021902, -0.011245
0.124266, -0.023910, -0.012370
0.123864, -0.025912, -0.013495
0.123430, -0.027907, -0.014619
0.122964, -0.029895, -0.015743
0.122465, -0.031875, -0.016867
0.121935, -0.033847, -0.017992
0.121373, -0.035810, -0.019116
0.120780, -0.037764, -0.020241
0.120154, -0.039708, -0.021365
0.119498, -0.041641, -0.022490
0.118811, -0.043564, -0.023614
0.118092, -0.045475, -0.024739
0.117343, -0.047375, -0.025863
0.116564, -0.049262, -0.026988
0.115754, -0.051136, -0.028112
0.114914, -0.052997, -0.029237
0.114044, -0.054844, -0.030361
0.113144, -0.056677, -0.031486
0.112215, -0.058495, -0.032610
0.111256, -0.060298, -0.033735
0.110285, -0.062056, -0.034915
0.109272, -0.063823, -0.036049
0.108231, -0.065573, -0.037183
0.107162, -0.067306, -0.038317
0.106065, -0.069021, -0.039451
0.104941, -0.070719, -0.040584
0.103790, -0.072398, -0.041718
0.102611, -0.074059, -0.042852
0.102012, -0.074882, -0.043419
0.101406, -0.075700, -0.043986
0.100794, -0.076514, -0.044553
0.100175, -0.077322, -0.045120
