x, y, z
0.064254, -0.051513, -0.048321
0.064592, -0.051088, -0.047514
0.064928, -0.050661, -0.046707
0.065261, -0.050231, -0.045901
0.065592, -0.049798, -0.045097
0.066248, -0.048922, -0.043492
0.066896, -0.048031, -0.041895
0.067537, -0.047126, -0.040305
0.068169, -0.046207, -0.038722
0.068792, -0.045275, -0.037147
0.069406, -0.044328, -0.035578
0.070010, -0.043367, -0.034017
0.070605, -0.042392, -0.032464
0.071190, -0.041401, -0.030919
0.071765, -0.040397, -0.029381
0.072329, -0.039377, -0.027852
0.072883, -0.038343, -0.026331
0.073425, -0.037295, -0.024819
0.073953, -0.036237, -0.023308
0.074469, -0.035164, -0.021807
0.074973, -0.034075, -0.020315
0.075466, -0.032970, -0.018834
0.075946, -0.031848, -0.017364
0.076414, -0.030708, -0.015907
0.076869, -0.029551, -0.014462
0.077311, -0.028376, -0.013030
0.077738, -0.027183, -0.011610
0.078151, -0.025973, -0.010202
0.078548, -0.024745, -0.008807
0.078930, -0.023500, -0.007426
0.079295, -0.022235, -0.006059
0.079644, -0.020950, -0.004708
0.079976, -0.019645, -0.003374
0.080290, -0.018319, -0.002058
0.080586, -0.016972, -0.000758
0.080861, -0.015605, 0.000526
0.081116, -0.014222, 0.001796
0.081349, -0.012823, 0.003053
0.081560, -0.011408, 0.004298
0.081747, -0.009976, 0.005527
0.081912, -0.008518, 0.006733
0.082053, -0.007030, 0.007908
0.082169, -0.005505, 0.009046
0.082259, -0.003937, 0.010141
0.082321, -0.002326, 0.011191
0.082351, -0.000673, 0.012196
0.082347, 0.001024, 0.013155
0.082307, 0.002772, 0.014058
0.082226, 0.004581, 0.014895
0.082100, 0.006458, 0.015655
0.082017, 0.007437, 0.015991
0.081918, 0.008458, 0.016280
0.081799, 0.009539, 0.016503
0.081653, 0.010717, 0.016619
0.081511, 0.011747, 0.016615
0.081432, 0.012285, 0.016588
0.081342, 0.012866, 0.016513
0.081288, 0.013202, 0.016426
0.081256, 0.013403, 0.016347
0.081235, 0.013526, 0.016283
0.081205, 0.013709, 0.016153
0.081160, 0.013972, 0.015797
0.081152, 0.014019, 0.015677
0.081143, 0.014070, 0.015483
0.081137, 0.014105, 0.015166
0.081142, 0.014072, 0.014646
0.081160, 0.013970, 0.014202
0.081217, 0.013634, 0.013456
0.081305, 0.013099, 0.012648
0.081394, 0.012537, 0.011870
0.081482, 0.011949, 0.011118
0.081570, 0.011332, 0.010397
0.081739, 0.010043, 0.009012
0.081890, 0.008725, 0.007656
0.082022, 0.007384, 0.006323
0.082133, 0.006020, 0.005012
0.082223, 0.004638, 0.003719
0.082290, 0.003240, 0.002441
0.082333, 0.001830, 0.001175
0.082353, 0.000411, -0.000081
0.082347, -0.001015, -0.001330
0.082317, -0.002446, -0.002574
0.082262, -0.003880, -0.003814
0.082182, -0.005312, -0.005054
0.082077, -0.006743, -0.006294
0.081947, -0.008171, -0.007535
0.081793, -0.009596, -0.008777
0.081613, -0.011017, -0.010019
0.081409, -0.012435, -0.011260
0.081181, -0.013850, -0.012502
0.080927, -0.015261, -0.013744
0.080649, -0.016667, -0.014985
0.080347, -0.018068, -0.016226
0.080020, -0.019464, -0.017467
0.079669, -0.020854, -0.018709
0.079294, -0.022237, -0.019950
0.078895, -0.023614, -0.021191
0.078472, -0.024984, -0.022433
0.078026, -0.026346, -0.023674
0.077555, -0.027700, -0.024915
0.077062, -0.029045, -0.026157
0.076544, -0.030382, -0.027398
0.076004, -0.031710, -0.028640
0.075441, -0.033028, -0.029881
0.074854, -0.034336, -0.031122
0.074245, -0.035633, -0.032364
0.073614, -0.036920, -0.033605
0.072960, -0.038196, -0.034846
0.072284, -0.039460, -0.036088
0.071605, -0.040680, -0.037368
0.070889, -0.041915, -0.038616
0.070152, -0.043138, -0.039864
0.069394, -0.044347, -0.041111
0.068615, -0.045543, -0.042359
0.067815, -0.046725, -0.043607
0.066995, -0.047894, -0.044855
0.066155, -0.049047, -0.046103
0.065727, -0.049619, -0.046727
0.065295, -0.050187, -0.047351
0.064857, -0.050751, -0.047975
0.064415, -0.051311, -0.048598
