x, y, z
0.104510, -0.078927, -0.043522
0.105034, -0.078229, -0.042705
0.105553, -0.077527, -0.041888
0.106068, -0.076821, -0.041073
0.106578, -0.076111, -0.040259
0.107588, -0.074677, -0.038638
0.108582, -0.073224, -0.037029
0.109559, -0.071753, -0.035430
0.110520, -0.070265, -0.033842
0.111464, -0.068758, -0.032263
0.112390, -0.067233, -0.030695
0.113298, -0.065691, -0.029138
0.114189, -0.064130, -0.027593
0.115061, -0.062551, -0.026059
0.115915, -0.060955, -0.024536
0.116750, -0.059341, -0.023026
0.117565, -0.057709, -0.021527
0.118360, -0.056060, -0.020041
0.119133, -0.054398, -0.018557
0.119885, -0.052719, -0.017086
0.120618, -0.051021, -0.015630
0.121329, -0.049306, -0.014190
0.122020, -0.047571, -0.012766
0.122689, -0.045817, -0.011360
0.123337, -0.044043, -0.009972
0.123962, -0.042251, -0.008602
0.124565, -0.040439, -0.007250
0.125144, -0.038610, -0.005917
0.125700, -0.036761, -0.004601
0.126231, -0.034894, -0.003306
0.126737, -0.033007, -0.002031
0.127219, -0.031100, -0.000780
0.127675, -0.029172, 0.000447
0.128104, -0.027223, 0.001648
0.128507, -0.025253, 0.002825
0.128882, -0.023265, 0.003979
0.129228, -0.021259, 0.005112
0.129544, -0.019238, 0.006227
0.129830, -0.017202, 0.007325
0.130086, -0.015148, 0.008398
0.130311, -0.013071, 0.009438
0.130505, -0.010965, 0.010434
0.130667, -0.008825, 0.011376
0.130796, -0.006647, 0.012254
0.130890, -0.004428, 0.013067
0.130947, -0.002172, 0.013817
0.130965, 0.000125, 0.014497
0.130942, 0.002469, 0.015096
0.130874, 0.004868, 0.015600
0.130760, 0.007329, 0.015992
0.130682, 0.008596, 0.016123
0.130590, 0.009901, 0.016188
0.130480, 0.011261, 0.016155
0.130347, 0.012708, 0.015967
0.130220, 0.013947, 0.015675
0.130150, 0.014586, 0.015493
0.130072, 0.015266, 0.015241
0.130027, 0.015647, 0.015043
0.130000, 0.015867, 0.014892
0.129984, 0.015997, 0.014781
0.129961, 0.016183, 0.014575
0.129934, 0.016403, 0.014075
0.129931, 0.016426, 0.013917
0.129930, 0.016434, 0.013670
0.129935, 0.016391, 0.013282
0.129958, 0.016209, 0.012668
0.129988, 0.015964, 0.012164
0.130062, 0.015354, 0.011365
0.130161, 0.014488, 0.010547
0.130257, 0.013596, 0.009770
0.130349, 0.012682, 0.009034
0.130438, 0.011741, 0.008342
0.130597, 0.009809, 0.007041
0.130729, 0.007850, 0.005783
0.130833, 0.005871, 0.004558
0.130908, 0.003872, 0.003364
0.130952, 0.001857, 0.002197
0.130965, -0.000172, 0.001051
0.130946, -0.002210, -0.000076
0.130896, -0.004256, -0.001189
0.130813, -0.006307, -0.002292
0.130698, -0.008362, -0.003387
0.130550, -0.010416, -0.004478
0.130370, -0.012469, -0.005567
0.130158, -0.014518, -0.006657
0.129913, -0.016563, -0.007749
0.129637, -0.018603, -0.008841
0.129328, -0.020639, -0.009934
0.128988, -0.022669, -0.011027
0.128616, -0.024694, -0.012119
0.128212, -0.026713, -0.013211
0.127776, -0.028726, -0.014303
0.127308, -0.030731, -0.015395
0.126809, -0.032729, -0.016486
0.126279, -0.034719, -0.017578
0.125717, -0.036700, -0.018670
0.125125, -0.038672, -0.019762
0.124501, -0.040635, -0.020854
0.123847, -0.042587, -0.021946
0.123162, -0.044529, -0.023038
0.122447, -0.046460, -0.024130
0.121701, -0.048380, -0.025222
0.120926, -0.050287, -0.026314
0.120120, -0.052182, -0.027405
0.119285, -0.054064, -0.028497
0.118420, -0.055933, -0.029589
0.117526, -0.057788, -0.030681
0.116603, -0.059629, -0.031773
0.115651, -0.061455, -0.032865
0.114686, -0.063237, -0.034013
0.113680, -0.065027, -0.035115
0.112647, -0.066802, -0.036216
0.111585, -0.068560, -0.037317
0.110496, -0.070302, -0.038419
0.109381, -0.072026, -0.039520
0.108238, -0.073732, -0.040621
0.107068, -0.075420, -0.041723
0.106473, -0.076257, -0.042273
0.105872, -0.077090, -0.042824
0.105265, -0.077918, -0.043375
0.104650, -0.078741, -0.043925
