x, y, z
0.081340, -0.068992, -0.049231
0.081834, -0.068406, -0.048359
0.082323, -0.067816, -0.047487
0.082809, -0.067222, -0.046616
0.083291, -0.066624, -0.045747
0.084245, -0.065414, -0.044015
0.085186, -0.064184, -0.042293
0.086113, -0.062934, -0.040580
0.087026, -0.061666, -0.038877
0.087923, -0.060380, -0.037183
0.088806, -0.059074, -0.035499
0.089672, -0.057750, -0.033825
0.090523, -0.056406, -0.032161
0.091358, -0.055044, -0.030508
0.092176, -0.053663, -0.028865
0.092978, -0.052262, -0.027233
0.093761, -0.050843, -0.025612
0.094527, -0.049406, -0.024002
0.095271, -0.047955, -0.022395
0.095997, -0.046485, -0.020799
0.096704, -0.044995, -0.019217
0.097392, -0.043486, -0.017649
0.098061, -0.041955, -0.016096
0.098710, -0.040404, -0.014559
0.099339, -0.038832, -0.013039
0.099947, -0.037239, -0.011536
0.100534, -0.035626, -0.010048
0.101098, -0.033991, -0.008578
0.101639, -0.032337, -0.007124
0.102157, -0.030661, -0.005688
0.102651, -0.028964, -0.004272
0.103121, -0.027245, -0.002876
0.103566, -0.025502, -0.001503
0.103985, -0.023736, -0.000153
0.104377, -0.021947, 0.001175
0.104741, -0.020137, 0.002482
0.105076, -0.018308, 0.003770
0.105381, -0.016461, 0.005041
0.105655, -0.014598, 0.006296
0.105899, -0.012715, 0.007530
0.106110, -0.010806, 0.008732
0.106290, -0.008864, 0.009895
0.106437, -0.006885, 0.011008
0.106548, -0.004862, 0.012064
0.106623, -0.002794, 0.013060
0.106657, -0.000684, 0.013998
0.106649, 0.001472, 0.014873
0.106596, 0.003680, 0.015674
0.106493, 0.005949, 0.016388
0.106337, 0.008288, 0.017000
0.106235, 0.009498, 0.017247
0.106116, 0.010750, 0.017433
0.105975, 0.012064, 0.017530
0.105804, 0.013477, 0.017486
0.105642, 0.014697, 0.017323
0.105552, 0.015330, 0.017207
0.105451, 0.016007, 0.017028
0.105392, 0.016392, 0.016873
0.105357, 0.016618, 0.016748
0.105335, 0.016754, 0.016654
0.105304, 0.016951, 0.016472
0.105262, 0.017210, 0.016009
0.105256, 0.017247, 0.015860
0.105250, 0.017278, 0.015622
0.105251, 0.017272, 0.015242
0.105271, 0.017155, 0.014631
0.105301, 0.016966, 0.014121
0.105382, 0.016455, 0.013291
0.105498, 0.015698, 0.012417
0.105611, 0.014913, 0.011582
0.105723, 0.014102, 0.010783
0.105832, 0.013261, 0.010025
0.106035, 0.011523, 0.008585
0.106212, 0.009754, 0.007183
0.106362, 0.007960, 0.005811
0.106482, 0.006144, 0.004468
0.106572, 0.004308, 0.003149
0.106631, 0.002457, 0.001850
0.106658, 0.000594, 0.000567
0.106652, -0.001279, -0.000702
0.106612, -0.003158, -0.001963
0.106540, -0.005041, -0.003216
0.106434, -0.006926, -0.004465
0.106295, -0.008809, -0.005713
0.106122, -0.010689, -0.006961
0.105917, -0.012565, -0.008211
0.105678, -0.014436, -0.009462
0.105406, -0.016303, -0.010713
0.105101, -0.018164, -0.011964
0.104763, -0.020020, -0.013214
0.104393, -0.021870, -0.014465
0.103990, -0.023714, -0.015715
0.103554, -0.025550, -0.016965
0.103086, -0.027377, -0.018215
0.102585, -0.029197, -0.019465
0.102053, -0.031007, -0.020715
0.101488, -0.032807, -0.021965
0.100892, -0.034597, -0.023215
0.100264, -0.036377, -0.024466
0.099605, -0.038144, -0.025716
0.098915, -0.039900, -0.026966
0.098194, -0.041644, -0.028216
0.097442, -0.043374, -0.029467
0.096659, -0.045091, -0.030717
0.095846, -0.046794, -0.031967
0.095004, -0.048482, -0.033217
0.094131, -0.050155, -0.034468
0.093229, -0.051812, -0.035718
0.092298, -0.053453, -0.036968
0.091357, -0.055046, -0.038270
0.090372, -0.056648, -0.039528
0.089360, -0.058233, -0.040787
0.088319, -0.059799, -0.042046
0.087251, -0.061347, -0.043305
0.086156, -0.062876, -0.044564
0.085034, -0.064385, -0.045823
0.083885, -0.065874, -0.047081
0.083301, -0.066611, -0.047711
0.082711, -0.067343, -0.048340
0.082114, -0.068070, -0.048970
0.081511, -0.068791, -0.049599
