,TimeStep,GHI,Load,T,Wind
0,0,0.0,403.25382246203617,-0.6545016213091014,3.541068030003359
0,1,0.0,394.00807716542295,-0.9490486229099566,4.485352838004255
0,2,0.0,389.63167199863454,-1.047230956776908,3.0689256260029114
0,3,0.0,391.16191356249834,-1.2435956245108108,2.8328544240026874
0,4,0.0,396.9528277982806,-1.439960292244716,2.596783222002464
0,5,0.0,412.6538777829145,-1.1454132906438594,1.1803560100011197
0,6,9.727921492631486,453.29315031632683,-0.8508662890430031,1.1803560100011197
0,7,91.87481409707515,479.7016049284312,-0.16358995197434217,1.1803560100011197
0,8,182.66874802830236,493.08800380257156,0.7200510528282237,1.1803560100011197
0,9,258.3303596376583,501.97369228258486,1.2109627221629806,1.1803560100011197
0,10,313.45524809590347,509.6420456601563,1.8982390592316447,1.1803560100011197
0,11,342.63901257379786,522.8784209229233,3.1746093995020175,2.3607120200022393
0,12,345.8816530713417,523.3756422055366,4.058250404304585,3.541068030003359
0,13,321.021409256839,515.4501053608755,4.843709075240198,3.541068030003359
0,14,269.13916129613773,501.4636117612971,3.567338734969825,3.541068030003359
0,15,103.76449592140254,493.2508866526199,1.701874391497742,3.541068030003359
0,16,57.28664878994098,484.776691757276,0.7200510528282237,2.3607120200022393
0,17,10.808801658479428,483.9751366523949,0.13095704962651417,2.3607120200022393
0,18,0.0,489.4531443334408,0.0327747157595617,1.1803560100011197
0,19,0.0,501.61363537267056,0.327321717360417,2.3607120200022393
0,20,0.0,480.00593865738443,0.7200510528282237,2.3607120200022393
0,21,0.0,471.8146456131652,1.01459805442908,3.541068030003359
0,22,0.0,463.0704080120567,1.01459805442908,2.596783222002464
0,23,0.0,452.7487786785356,1.2109627221629806,4.131246035003919
1,0,0.0,372.65327750433494,11.127378442725115,3.541068030003359
1,1,0.0,360.1755934974772,10.931013774991209,4.721424040004479
1,2,0.0,353.0601844901658,10.538284439523403,2.3607120200022393
1,3,0.0,353.10733475202915,9.851008102454736,1.1803560100011197
1,4,4.323520663391771,361.9501592897561,10.047372770188641,1.1803560100011197
1,5,39.99256613637389,378.1312850920661,9.949190436321691,1.1803560100011197
1,6,88.63217359953131,428.1877585979232,9.949190436321691,2.3607120200022393
1,7,137.27178106268875,463.01468501772473,9.752825768587785,2.3607120200022393
1,8,181.58786786245437,478.7843172353653,9.851008102454736,2.3607120200022393
1,9,217.2569133354365,481.69906307129656,10.538284439523403,1.1803560100011197
1,10,243.1980373157872,497.6015735286881,10.440102105656447,2.3607120200022393
1,11,256.16859930596246,511.92240565414625,10.63646677339035,2.3607120200022393
1,12,255.0877191401145,514.6142591394911,10.538284439523403,3.541068030003359
1,13,241.03627698409124,511.1251369621568,10.341919771789495,3.541068030003359
1,14,214.01427283789272,502.7238107127112,9.654643434720834,3.541068030003359
1,15,177.26434719906263,494.3910666962723,9.654643434720834,2.3607120200022393
1,16,131.86738023344904,483.01069869746556,9.851008102454736,2.3607120200022393
1,17,83.2277727702916,475.3294861745343,10.047372770188641,3.541068030003359
1,18,35.66904547298211,472.97197112175445,10.047372770188641,2.3607120200022393
1,19,2.1617603316958856,468.8184583055523,10.047372770188641,2.3607120200022393
1,20,0.0,448.5138243906522,10.243737437922544,2.3607120200022393
1,21,0.0,435.80896162031627,10.440102105656447,2.3607120200022393
1,22,0.0,422.3968443621408,10.341919771789495,2.3607120200022393
1,23,0.0,395.5040276127835,10.341919771789495,2.3607120200022393
2,0,0.0,378.29845435500596,4.352797405905439,5.42963764600515
2,1,0.0,366.7766354772943,3.9600680704376305,5.311602045005039
2,2,0.0,369.27131499608754,3.7637034027037277,5.075530843004814
2,3,0.0,364.9034826550822,3.6655210688367763,4.957495242004703
2,4,0.0,370.93014829349636,3.2727917333689707,6.019815651005709
2,5,0.0,387.4241806505428,3.370974067235922,4.721424040004479
2,6,0.0,448.38951906999876,3.2727917333689707,4.721424040004479
2,7,18.37496281941503,479.448707874233,2.8800623979011633,5.901780050005598
2,8,62.69104961918068,484.69525037890924,3.076427065635066,5.901780050005598
2,9,102.68361575555458,485.2353356038091,3.2727917333689707,7.082136060006718
2,10,131.86738023344904,504.0311599259886,4.156432738171536,7.082136060006718
2,11,282.10972328631306,518.2362594632618,4.647344407506293,8.262492070007838
2,12,286.43324394970483,516.7145907251812,5.334620744574959,5.901780050005598
2,13,264.815640632746,509.2605568724133,5.236438410708005,7.082136060006718
2,14,113.492417414034,492.46219078641366,4.941891409107149,5.901780050005598
2,15,76.74249177520393,482.5391957055726,4.254615072038487,5.901780050005598
2,16,32.42640497543829,472.5390456592563,3.7637034027037277,4.721424040004479
2,17,0.0,478.35567818575873,3.567338734969825,3.541068030003359
2,18,0.0,499.6247500555885,3.4691564011028735,4.721424040004479
2,19,0.0,512.5439323507275,3.2727917333689707,3.541068030003359
2,20,0.0,485.10674387026404,2.781880064034212,4.721424040004479
2,21,0.0,470.0015021981765,2.585515396300309,4.721424040004479
2,22,0.0,447.0221603561832,2.4873330624333554,4.8394596410045905
2,23,0.0,410.8407343679259,2.0946037269655475,2.596783222002464
3,0,0.0,371.110176795111,15.054671797403184,1.1803560100011197
3,1,0.0,361.3157734478148,14.858307129669278,2.3607120200022393
3,2,0.0,357.0208097527078,14.36739546033452,3.541068030003359
3,3,0.0,357.22655645172784,14.171030792600613,2.3607120200022393
3,4,9.727921492631486,361.3114870349232,13.680119123265852,3.541068030003359
3,5,77.82337194105189,381.48324280338704,12.79647811846329,3.541068030003359
3,6,167.53642570643115,428.09774439377327,12.698295784596333,3.541068030003359
3,7,258.3303596376583,463.0275441630848,12.79647811846329,3.541068030003359
3,8,343.7198927396458,489.78748276600567,13.189207453931099,2.3607120200022393
3,9,411.8153431880662,492.65079192718207,13.778301457132812,2.3607120200022393
3,10,460.4549506512236,497.9187664030014,13.483754455531958,2.3607120200022393
3,11,484.2343142998784,508.09037212514914,15.349218799004035,3.541068030003359
3,12,484.2343142998784,516.7660273999362,16.723771473141362,2.3607120200022393
3,13,457.2123101536798,521.0695639208265,15.741948134471844,3.541068030003359
3,14,407.4918225246745,511.1422825204085,14.760124795802321,2.3607120200022393
3,15,338.3154919104061,499.19611091266705,15.251036465137087,2.3607120200022393
3,16,252.92595880841867,487.9271891824685,14.760124795802321,2.3607120200022393
3,17,161.05114471134348,480.53745114981564,14.95648946353623,2.3607120200022393
3,18,37.830805804678,472.3375852798132,13.091025120064144,2.3607120200022393
3,19,5.404400829239714,469.07992818553373,12.79647811846329,2.3607120200022393
3,20,0.0,455.47063686749215,12.501931116862435,3.541068030003359
3,21,0.0,440.6954473083928,12.109201781394624,2.3607120200022393
3,22,0.0,421.80532246248623,12.011019447527678,1.1803560100011197
3,23,0.0,393.97807246181134,11.421925444325966,1.1803560100011197
4,0,0.0,349.7596634535998,9.55646110085388,2.3607120200022393
4,1,0.0,335.9960621112931,9.261914099253028,2.3607120200022393
4,2,0.0,328.74777505085996,9.261914099253028,2.3607120200022393
4,3,0.0,331.8082581785878,9.261914099253028,2.3607120200022393
4,4,0.0,333.39850924298986,9.065549431519123,2.3607120200022393
4,5,19.455842985262972,334.251501022626,9.261914099253028,2.3607120200022393
4,6,96.19833476046692,333.7928571760931,10.047372770188641,2.3607120200022393
4,7,192.39666952093384,340.35103530693834,11.618290112059869,2.3607120200022393
4,8,279.9479629546172,360.20131178819736,13.385572121664998,3.541068030003359
4,9,353.44781423227727,379.7043905982165,14.661942461935375,2.3607120200022393
4,10,404.2491820271307,394.3852795402745,15.152854131270132,2.3607120200022393
4,11,430.19030600748124,406.55862981817904,15.349218799004035,2.3607120200022393
4,12,429.1094258416333,406.96155057706534,16.232859803806598,3.541068030003359
4,13,399.92566136373887,393.7037434364698,16.625589139274407,1.1803560100011197
4,14,346.96253323718963,386.1382634084086,16.821953807008313,3.541068030003359
4,15,271.3009216278337,382.2505067917648,17.116500808609167,3.541068030003359
4,16,96.19833476046692,380.8445705485542,16.723771473141362,1.1803560100011197
4,17,45.39696696561359,385.8425024119239,16.134677469939653,1.1803560100011197
4,18,7.5661611609356,396.10840875111296,15.152854131270132,1.1803560100011197
4,19,0.0,401.2906554356741,13.483754455531958,1.1803560100011197
4,20,0.0,403.00521172741486,13.581936789398904,2.3607120200022393
4,21,0.0,400.18905292141676,13.091025120064144,3.541068030003359
4,22,0.0,387.8871109099673,12.501931116862435,2.3607120200022393
4,23,0.0,363.4718281211515,12.305566449128532,2.3607120200022393
5,0,0.0,414.36843416796984,-1.047230956776908,2.3607120200022393
5,1,0.0,403.31811828215126,-1.2435956245108108,4.721424040004479
5,2,0.0,399.6275357253739,-1.73450729384557,4.721424040004479
5,3,0.0,406.56720264396216,-1.439960292244716,4.721424040004479
5,4,0.0,411.0379084277922,-1.8326896277125213,4.721424040004479
5,5,0.0,427.15045199709556,-1.73450729384557,5.901780050005598
5,6,0.0,487.56713227255386,-1.73450729384557,4.721424040004479
5,7,0.0,537.6450376562397,-1.9308719615794738,3.541068030003359
5,8,7.5661611609356,562.7804341715695,-1.8326896277125213,3.541068030003359
5,9,33.507285141286225,564.0320602972007,-1.6363249599786185,3.541068030003359
5,10,58.36752895578891,565.4294238079426,-1.2435956245108108,5.901780050005598
5,11,73.49985127766011,570.5988112538291,-0.9490486229099566,7.082136060006718
5,12,74.58073144350806,567.1997032806447,-0.8508662890430031,4.721424040004479
5,13,62.69104961918068,568.9142596657002,-0.9490486229099566,4.721424040004479
5,14,38.911685970525944,566.4281528793754,-1.047230956776908,5.901780050005598
5,15,8.647041326783542,563.4362519846545,-1.047230956776908,5.901780050005598
5,16,0.0,557.2081259667971,-0.8508662890430031,7.082136060006718
5,17,0.0,569.1671567198982,-0.7526839551760527,3.541068030003359
5,18,0.0,567.8512346808377,-0.5563192874421489,4.721424040004479
5,19,0.0,558.9655462008244,-0.2617722858412936,4.721424040004479
5,20,0.0,534.9231794672831,-0.2617722858412936,4.721424040004479
5,21,0.0,512.4153406171827,-0.06540761810739078,4.721424040004479
5,22,0.0,481.3647246387316,0.0327747157595617,4.721424040004479
5,23,0.0,437.85357011835976,0.22913938349346452,3.541068030003359
6,0,0.0,354.7147313746829,15.054671797403184,1.1803560100011197
6,1,0.0,345.9833530122492,15.152854131270132,2.3607120200022393
6,2,0.0,341.3283325005425,14.465577794201472,1.1803560100011197
6,3,0.0,341.31547335518246,14.465577794201472,2.3607120200022393
6,4,0.0,345.2418074079063,14.858307129669278,2.3607120200022393
6,5,12.970561990175318,364.6248672168493,14.760124795802321,1.1803560100011197
6,6,156.72762404795174,409.7605639181265,15.349218799004035,1.1803560100011197
6,7,324.2640497543828,438.016452968408,15.938312802205743,1.1803560100011197
6,8,497.20487629005373,459.82561015645217,17.705594811810876,2.3607120200022393
6,9,634.4766573527424,472.04611069622,18.687418150480394,2.3607120200022393
6,10,732.8367524449052,479.641595427893,19.080147485948206,1.1803560100011197
6,11,729.5941119473614,491.8663823805526,19.767423823016866,1.1803560100011197
6,12,767.4249177520394,493.01942156956494,21.24015883102114,3.541068030003359
6,13,719.8661904547298,486.63698543412795,22.32016450355761,3.541068030003359
6,14,640.9619383478301,477.98276213048416,21.829252834222853,3.541068030003359
6,15,508.0136779485331,470.6273153076493,22.123799835823707,2.3607120200022393
6,16,342.63901257379786,460.41713205610677,21.829252834222853,3.541068030003359
6,17,165.37466537473526,455.7706842768684,21.63288816648895,2.3607120200022393
6,18,17.294082653567084,453.68749824942995,20.651064827819432,1.1803560100011197
6,19,0.0,448.8395900907485,19.178329819815158,1.1803560100011197
6,20,0.0,439.0366140109839,18.196506481145637,2.3607120200022393
6,21,0.0,435.26458998252497,17.31286547634307,2.3607120200022393
6,22,0.0,411.02933560200904,16.723771473141362,3.541068030003359
6,23,0.0,382.76916013883596,15.938312802205743,3.541068030003359
7,0,0.0,401.2906554356741,1.01459805442908,2.3607120200022393
7,1,0.0,389.61881285327445,1.01459805442908,2.3607120200022393
7,2,0.0,388.2643132848188,1.1127803882960314,2.3607120200022393
7,3,0.0,395.33685834984374,1.1127803882960314,2.3607120200022393
7,4,0.0,402.9966389949464,1.1127803882960314,3.541068030003359
7,5,0.0,423.3612823170703,1.2109627221629806,3.541068030003359
7,6,0.0,478.7671716771136,1.2109627221629806,3.541068030003359
7,7,0.0,517.0446428381694,1.505509723763837,3.541068030003359
7,8,22.698483482806797,526.821900533899,1.701874391497742,3.541068030003359
7,9,55.12488845824509,525.5745608211598,1.8000567253646933,2.3607120200022393
7,10,76.74249177520393,528.2535551611444,2.0946037269655475,2.3607120200022393
7,11,87.55129343368337,528.6178983906359,2.389150728566406,2.3607120200022393
7,12,83.2277727702916,527.6620331681748,2.9782447317681147,2.3607120200022393
7,13,67.01457028257245,525.4159642906883,3.1746093995020175,1.1803560100011197
7,14,97.27921492631486,523.6199665272663,2.9782447317681147,1.1803560100011197
7,15,19.455842985262972,516.8817599881208,1.8000567253646933,2.3607120200022393
7,16,0.0,516.8260369004745,0.7200510528282237,1.1803560100011197
7,17,0.0,535.0217664039017,0.13095704962651417,2.3607120200022393
7,18,0.0,534.8631699667447,-0.06540761810739078,3.541068030003359
7,19,0.0,521.0609910950433,-0.9490486229099566,2.3607120200022393
7,20,0.0,496.4399615138926,-1.2435956245108108,3.541068030003359
7,21,0.0,478.68144388585534,-1.73450729384557,3.541068030003359
7,22,0.0,454.44618950533936,-1.8326896277125213,3.541068030003359
7,23,0.0,422.5940184220073,-2.1272366293133778,3.541068030003359
8,0,0.0,424.7755834000001,1.9000000000000006,2.0
8,1,0.0,412.24457949999993,1.6999999999999993,3.0
8,2,0.0,408.0369551,0.7999999999999993,3.0
8,3,0.0,410.5541802,0.39999999999999963,3.0
8,4,0.0,424.5505030000001,0.20000000000000034,4.0
8,5,0.0,451.7255099000001,0.5000000000000003,4.0
8,6,0.0,517.8440103,0.7999999999999993,3.0
8,7,0.0,581.1558966,1.0999999999999992,4.0
8,8,19.0,611.344224,1.3999999999999992,5.0
8,9,52.0,619.0199232000001,1.6000000000000005,4.0
8,10,79.0,624.2472995,1.9000000000000006,4.0
8,11,94.0,636.4843208,2.2999999999999994,5.0
8,12,97.0,630.7930035,2.6000000000000014,5.0
8,13,86.0,626.5302573,3.0,5.0
8,14,64.0,616.328146,3.1000000000000005,5.0
8,15,33.0,614.7479901,3.1000000000000005,5.0
8,16,2.0,607.6740363,3.200000000000001,5.0
8,17,0.0,615.7080267000001,3.200000000000001,5.0
8,18,0.0,623.4204737000001,3.1000000000000005,5.0
8,19,0.0,606.8196497,2.899999999999999,6.0
8,20,0.0,580.8435402000001,3.0,6.0
8,21,0.0,558.0277424999998,3.1000000000000005,5.0
8,22,0.0,530.788427,3.1000000000000005,4.0
8,23,0.0,486.6588985,3.1000000000000005,4.0
9,0,0.0,475.4554094,-7.0,3.0
9,1,0.0,459.3736482,-7.199999999999999,3.0
9,2,0.0,449.79165629999994,-7.6,2.0
9,3,0.0,448.4733284999999,-7.9,3.0
9,4,0.0,448.8913349,-8.3,2.0
9,5,0.0,466.8931692,-8.7,3.0
9,6,0.0,530.2923316,-8.8,3.0
9,7,0.0,581.8954463,-9.0,3.0
9,8,20.0,595.331365,-9.0,3.0
9,9,105.0,590.1774843999998,-8.1,3.0
9,10,205.0,590.6414256,-6.9,4.0
9,11,259.0,603.6455575,-5.8,4.0
9,12,265.0,603.5628749,-4.8,5.0
9,13,227.0,602.2032059,-4.2,5.0
