x, y, z
0.125409, -0.083837, -0.037998
0.125911, -0.083082, -0.037251
0.126408, -0.082324, -0.036504
0.126901, -0.081562, -0.035758
0.127390, -0.080796, -0.035014
0.128355, -0.079253, -0.033533
0.129305, -0.077693, -0.032063
0.130239, -0.076118, -0.030605
0.131156, -0.074527, -0.029156
0.132056, -0.072920, -0.027718
0.132939, -0.071298, -0.026291
0.133804, -0.069660, -0.024874
0.134652, -0.068006, -0.023470
0.135482, -0.066337, -0.022077
0.136294, -0.064653, -0.020696
0.137088, -0.062953, -0.019326
0.137862, -0.061238, -0.017970
0.138618, -0.059508, -0.016625
0.139353, -0.057767, -0.015283
0.140068, -0.056010, -0.013955
0.140763, -0.054239, -0.012641
0.141439, -0.052451, -0.011343
0.142095, -0.050647, -0.010062
0.142731, -0.048826, -0.008799
0.143346, -0.046988, -0.007555
0.143941, -0.045134, -0.006329
0.144514, -0.043264, -0.005121
0.145066, -0.041378, -0.003932
0.145595, -0.039475, -0.002761
0.146101, -0.037557, -0.001611
0.146585, -0.035621, -0.000482
0.147046, -0.033668, 0.000624
0.147484, -0.031696, 0.001705
0.147897, -0.029707, 0.002759
0.148286, -0.027699, 0.003789
0.148650, -0.025676, 0.004795
0.148988, -0.023637, 0.005781
0.149299, -0.021585, 0.006748
0.149583, -0.019520, 0.007697
0.149840, -0.017439, 0.008622
0.150070, -0.015337, 0.009512
0.150272, -0.013211, 0.010358
0.150446, -0.011055, 0.011149
0.150591, -0.008864, 0.011875
0.150705, -0.006639, 0.012536
0.150788, -0.004380, 0.013130
0.150837, -0.002085, 0.013656
0.150851, 0.000251, 0.014098
0.150828, 0.002636, 0.014444
0.150766, 0.005076, 0.014676
0.150719, 0.006328, 0.014726
0.150659, 0.007614, 0.014708
0.150586, 0.008948, 0.014591
0.150495, 0.010360, 0.014316
0.150408, 0.011559, 0.013954
0.150359, 0.012178, 0.013735
0.150305, 0.012830, 0.013445
0.150273, 0.013193, 0.013227
0.150255, 0.013400, 0.013065
0.150244, 0.013522, 0.012949
0.150229, 0.013692, 0.012734
0.150212, 0.013877, 0.012230
0.150210, 0.013891, 0.012074
0.150211, 0.013884, 0.011832
0.150217, 0.013817, 0.011453
0.150237, 0.013600, 0.010863
0.150261, 0.013328, 0.010383
0.150318, 0.012678, 0.009638
0.150391, 0.011775, 0.008889
0.150461, 0.010850, 0.008183
0.150526, 0.009905, 0.007518
0.150586, 0.008937, 0.006897
0.150691, 0.006957, 0.005742
0.150770, 0.004956, 0.004629
0.150823, 0.002936, 0.003551
0.150849, 0.000901, 0.002503
0.150847, -0.001149, 0.001483
0.150817, -0.003209, 0.000486
0.150759, -0.005278, -0.000494
0.150672, -0.007353, -0.001459
0.150556, -0.009431, -0.002414
0.150411, -0.011512, -0.003361
0.150238, -0.013593, -0.004303
0.150035, -0.015672, -0.005243
0.149804, -0.017747, -0.006185
0.149544, -0.019819, -0.007128
0.149255, -0.021886, -0.008072
0.148938, -0.023949, -0.009016
0.148593, -0.026007, -0.009961
0.148219, -0.028060, -0.010905
0.147816, -0.030108, -0.011848
0.147385, -0.032151, -0.012792
0.146926, -0.034188, -0.013735
0.146439, -0.036217, -0.014678
0.145924, -0.038240, -0.015621
0.145381, -0.040256, -0.016565
0.144810, -0.042264, -0.017508
0.144211, -0.044263, -0.018452
0.143585, -0.046255, -0.019395
0.142931, -0.048237, -0.020339
0.142250, -0.050210, -0.021282
0.141542, -0.052174, -0.022226
0.140806, -0.054127, -0.023169
0.140044, -0.056071, -0.024113
0.139254, -0.058003, -0.025056
0.138438, -0.059924, -0.026000
0.137596, -0.061834, -0.026943
0.136727, -0.063732, -0.027886
0.135832, -0.065618, -0.028830
0.134924, -0.067466, -0.029831
0.133980, -0.069322, -0.030784
0.133010, -0.071165, -0.031737
0.132015, -0.072995, -0.032690
0.130994, -0.074811, -0.033643
0.129949, -0.076612, -0.034596
0.128879, -0.078399, -0.035549
0.127784, -0.080170, -0.036502
0.127228, -0.081051, -0.036979
0.126665, -0.081927, -0.037455
0.126097, -0.082799, -0.037932
0.125522, -0.083668, -0.038408
