x, y, z
0.132536, -0.085054, -0.036203
0.133026, -0.084286, -0.035480
0.133511, -0.083515, -0.034757
0.133992, -0.082741, -0.034035
0.134469, -0.081963, -0.033316
0.135412, -0.080397, -0.031883
0.136339, -0.078815, -0.030462
0.137250, -0.077217, -0.029052
0.138144, -0.075605, -0.027652
0.139022, -0.073979, -0.026262
0.139883, -0.072337, -0.024883
0.140727, -0.070681, -0.023516
0.141554, -0.069010, -0.022159
0.142364, -0.067324, -0.020815
0.143155, -0.065624, -0.019482
0.143929, -0.063909, -0.018161
0.144685, -0.062180, -0.016853
0.145421, -0.060437, -0.015556
0.146138, -0.058683, -0.014263
0.146835, -0.056915, -0.012983
0.147514, -0.055133, -0.011718
0.148173, -0.053335, -0.010468
0.148814, -0.051522, -0.009235
0.149434, -0.049693, -0.008021
0.150035, -0.047848, -0.006824
0.150616, -0.045987, -0.005646
0.151176, -0.044112, -0.004487
0.151715, -0.042220, -0.003346
0.152233, -0.040314, -0.002223
0.152729, -0.038392, -0.001121
0.153203, -0.036455, -0.000040
0.153655, -0.034500, 0.001018
0.154084, -0.032529, 0.002051
0.154491, -0.030540, 0.003057
0.154874, -0.028534, 0.004039
0.155232, -0.026513, 0.004998
0.155566, -0.024477, 0.005935
0.155875, -0.022429, 0.006855
0.156157, -0.020368, 0.007756
0.156414, -0.018292, 0.008633
0.156645, -0.016197, 0.009476
0.156850, -0.014077, 0.010274
0.157028, -0.011930, 0.011017
0.157178, -0.009749, 0.011696
0.157300, -0.007536, 0.012309
0.157391, -0.005290, 0.012856
0.157451, -0.003010, 0.013334
0.157479, -0.000690, 0.013730
0.157471, 0.001676, 0.014028
0.157427, 0.004095, 0.014214
0.157390, 0.005336, 0.014241
0.157341, 0.006608, 0.014199
0.157281, 0.007927, 0.014060
0.157204, 0.009320, 0.013762
0.157130, 0.010501, 0.013381
0.157088, 0.011109, 0.013153
0.157041, 0.011751, 0.012855
0.157014, 0.012106, 0.012633
0.156998, 0.012308, 0.012469
0.156989, 0.012426, 0.012351
0.156976, 0.012591, 0.012136
0.156962, 0.012766, 0.011634
0.156961, 0.012776, 0.011479
0.156962, 0.012765, 0.011239
0.156968, 0.012691, 0.010866
0.156986, 0.012466, 0.010285
0.157008, 0.012188, 0.009816
0.157057, 0.011531, 0.009090
0.157121, 0.010623, 0.008366
0.157181, 0.009694, 0.007684
0.157237, 0.008746, 0.007043
0.157288, 0.007776, 0.006447
0.157373, 0.005796, 0.005339
0.157434, 0.003794, 0.004274
0.157470, 0.001776, 0.003244
0.157480, -0.000258, 0.002244
0.157463, -0.002304, 0.001272
0.157420, -0.004361, 0.000322
0.157349, -0.006426, -0.000609
0.157251, -0.008496, -0.001527
0.157125, -0.010569, -0.002434
0.156972, -0.012645, -0.003333
0.156791, -0.014720, -0.004227
0.156582, -0.016794, -0.005120
0.156346, -0.018864, -0.006014
0.156083, -0.020931, -0.006909
0.155793, -0.022993, -0.007805
0.155475, -0.025051, -0.008702
0.155130, -0.027104, -0.009598
0.154758, -0.029154, -0.010494
0.154359, -0.031198, -0.011390
0.153933, -0.033236, -0.012286
0.153480, -0.035269, -0.013181
0.153000, -0.037296, -0.014077
0.152493, -0.039317, -0.014972
0.151960, -0.041330, -0.015868
0.151400, -0.043336, -0.016764
0.150814, -0.045335, -0.017659
0.150201, -0.047325, -0.018555
0.149562, -0.049307, -0.019451
0.148897, -0.051281, -0.020347
0.148205, -0.053246, -0.021242
0.147488, -0.055201, -0.022138
0.146745, -0.057147, -0.023034
0.145977, -0.059083, -0.023929
0.145183, -0.061008, -0.024825
0.144363, -0.062923, -0.025721
0.143518, -0.064827, -0.026616
0.142648, -0.066719, -0.027512
0.141765, -0.068576, -0.028465
0.140848, -0.070440, -0.029370
0.139906, -0.072293, -0.030276
0.138940, -0.074133, -0.031181
0.137950, -0.075960, -0.032086
0.136935, -0.077774, -0.032991
0.135897, -0.079574, -0.033897
0.134835, -0.081361, -0.034802
0.134295, -0.082249, -0.035254
0.133749, -0.083133, -0.035707
0.133198, -0.084014, -0.036160
0.132641, -0.084891, -0.036612
